"Rank","Player","REC","TGT","ReYDS","Y/R","LG","20+","ReTD","ATT","RuYDS","RuTD","FL","G","FPTS","FPTS/G","ROST"
"185","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","4.8","0.3","0.0%"
"186","Tyrie Cleveland (PHI)","2","7","28","14.0","16","0","0","0","0","0","0","5","4.8","1.0","0.6%"
"187","Bryan Edwards (NO)","3","5","15","5.0","10","0","0","0","0","0","0","4","4.5","1.1","0.1%"
"188","Daylen Baldwin (CLE)","2","2","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"189","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","4.4","0.6","0.2%"
"190","Dezmon Patmon (BUF)","2","6","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","0.1%"
"191","Andy Isabella (BAL)","2","5","21","10.5","11","0","0","1","1","0","0","4","4.2","1.1","0.0%"
"192","Pharoh Cooper (ARI)","2","2","6","3.0","3","0","0","4","15","0","0","5","4.1","0.8","1.0%"
"193","Cade Johnson (SEA)","2","4","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.1%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","4.0","1.0","0.1%"
"195","Keith Kirkwood (NO)","2","4","18","9.0","14","0","0","0","0","0","0","3","3.8","1.3","0.0%"
"196","Dennis Houston (DAL)","2","6","16","8.0","11","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"197","Quintez Cephus (DET)","2","3","15","7.5","9","0","0","0","0","0","0","3","3.5","1.2","0.1%"
"198","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"199","Austin Trammell (LAR)","2","4","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.1%"
"200","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","3.2","1.1","0.5%"
"201","Miles Boykin (PIT)","2","3","11","5.5","11","0","0","0","0","0","0","10","3.1","0.3","0.0%"
"202","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.9","0.4","0.2%"
"203","Juwann Winfree (FA)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"204","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"205","Frank Darby (ATL)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.1%"
"206","Tyron Johnson (SF)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.1%"
"207","Maurice Alexander (DET)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"208","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","1.7","0.9","0.0%"
"209","Jalen Camp (HOU)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"210","C.J. Board (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","4","1.6","0.4","1.0%"
"211","Jason Moore Jr. (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"212","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","1.3","0.3","0.3%"
"213","Erik Ezukanma (MIA)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.2%"
"214","Mason Kinsey (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.1%"
"215","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"216","Keke Coutee (FA)","1","1","20","20.0","20","1","0","0","0","0","1","7","1.0","0.1","0.0%"
"217","Ihmir Smith-Marsette (KC)","1","4","15","15.0","15","0","0","1","-1","0","1","4","0.4","0.1","0.6%"
"218","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"222","Demetric Felton Jr. (CLE)","2","4","8","4.0","5","0","0","1","-4","0","0","6","0.0","0.0","0.6%"
"223","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"224","Marquez Stevenson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"226","Tyler Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"227","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.6%"
"229","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"230","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"232","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"233","Preston Williams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"234","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"235","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Jeff Cotton Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"237","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Tarik Black (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"240","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"241","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"242","Lynn Bowden Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"243","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Joe Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"247","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"248","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.5%"
"249","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Josh Downs (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"253","Dre Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Lance McCutcheon (LAR)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.6%"
"256","Raleigh Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"257","Shemar Bridges (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Jared Bernhardt (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"259","Chris Pierce Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"260","Kyric McGowan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Ra'Shaun Henry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
